lemma,type,origin,label,set
nenhum,syn,InferBR,0,train
não,syn,InferBR,0,train
nenhum,syn,InferBR,0,train
não,syn,InferBR,0,train
desfavorecer,morph,InferBR,0,train
não,syn,InferBR,0,train
nenhum,syn,InferBR,0,train
não,syn,InferBR,0,train
nenhum,syn,InferBR,0,train
não,syn,InferBR,0,train
não,syn,InferBR,0,train
não,syn,InferBR,0,train
não,syn,InferBR,1,train
imóvel,morph,InferBR,0,train
sem,syn,InferBR,0,train
sem,syn,InferBR,0,train
não,syn,InferBR,0,train
não,syn,InferBR,0,train
ninguém,syn,InferBR,0,train
não,syn,InferBR,0,train
não,syn,InferBR,1,train
não,syn,InferBR,0,train
nada,syn,InferBR,0,train
descansar,morph,InferBR,0,train
não,syn,InferBR,0,train
nada,syn,InferBR,0,train
não,syn,InferBR,0,train
nenhum,syn,InferBR,0,train
não,syn,InferBR,0,train
nem,syn,InferBR,0,train
não,syn,InferBR,0,train
nenhum,syn,InferBR,0,train
não,syn,InferBR,1,train
não,syn,InferBR,1,train
ninguém,syn,InferBR,1,train
não,syn,InferBR,0,train
evitar,lex,InferBR,0,train
não,syn,InferBR,0,train
nenhum,syn,InferBR,0,train
sem,syn,InferBR,0,train
não,syn,InferBR,0,train
nenhum,syn,InferBR,0,train
ninguém,syn,InferBR,0,train
sem,syn,InferBR,0,train
descansar,morph,InferBR,1,train
sem,syn,InferBR,0,train
não,syn,InferBR,0,train
não,syn,InferBR,0,train
nenhum,syn,InferBR,0,train
não,syn,InferBR,0,train
não,syn,InferBR,0,train
não,syn,InferBR,0,train
sem,syn,InferBR,1,train
não,syn,InferBR,0,train
não,syn,InferBR,0,train
não,syn,InferBR,0,train
não,syn,InferBR,0,train
nenhum,syn,InferBR,0,train
sem,syn,InferBR,0,train
nem,syn,InferBR,0,train
não,syn,InferBR,0,train
não,syn,InferBR,0,train
nada,syn,InferBR,0,train
não,syn,InferBR,0,train
não,syn,InferBR,0,train
nada,syn,InferBR,0,train
sem,syn,InferBR,0,train
sem,syn,InferBR,0,train
não,syn,InferBR,0,train
ninguém,syn,InferBR,0,train
não,syn,InferBR,0,train
nenhum,syn,InferBR,0,train
não,syn,InferBR,0,train
não,syn,InferBR,0,train
ninguém,syn,InferBR,0,train
nenhum,syn,InferBR,0,train
sem,syn,InferBR,0,train
sem,syn,InferBR,1,train
não,syn,InferBR,0,train
evitar,lex,InferBR,0,train
não,syn,InferBR,0,train
não,syn,InferBR,0,train
sem,syn,InferBR,0,train
não,syn,InferBR,0,train
nem,syn,InferBR,0,train
sem,syn,InferBR,0,train
ninguém,syn,InferBR,0,train
não,syn,InferBR,0,train
