token,token_en,neg_type,lemma
exceto,except,syn,exceto
salvo,saved,syn,salvo
não,no,syn,não
nenhum,none,syn,nenhum
ninguém,nobody,syn,ninguém
nunca,never,syn,nunca
jamais,never,syn,jamais
nada,nothing,syn,nada
sem,without,syn,sem
sequer,not even,syn,sequer
nem,nor,syn,nem
tampouco,neither,syn,tampouco
falta de,lack of,lex,[EXPR]
de modo algum,in no way,lex,[EXPR]
sem chance,no chance,lex,[EXPR]
de maneira nenhuma,no way,lex,[EXPR]
privado de,deprived of,lex,[EXPR]
privada de,deprived of,lex,[EXPR]
privados de,deprived of,lex,[EXPR]
privadas de,deprived of,lex,[EXPR]
de forma alguma,in no way,lex,[EXPR]
evitar,avoid,lex,evitar
ausência,absence,lex,ausência
ausente,absent,lex,ausente
cessar,cease,lex,cessar
negar,to deny,lex,negar
recusar,refuse,lex,recusar
rejeitar,reject,lex,rejeitar
opor,oppose,lex,opor
resistir,resist,lex,resistir
parar,to stop,lex,parar
excluir,delete,lex,excluir
proibir,prohibit,lex,proibir
abiogênese,abiogenesis,morph,abiogênese
abiogênico,abiogenic,morph,abiogênico
abióticas,abiotic,morph,abiótica
abiótico,abiotic,morph,abiótico
acatólico,acatholic,morph,acatólico
acausal,acausal,morph,acausal
acausalidade,acausality,morph,acausalidade
acelular,acellular,morph,acelular
acianótico,acyanotic,morph,acianótico
acientífico,scientific,morph,acientífico
acinético,akinetic,morph,acinético
acivilização,civilization,morph,acivilização
aconfessional,aconfessional,morph,aconfessional
acriticidade,uncriticality,morph,acriticidade
acriticismo,uncriticism,morph,acriticismo
acromático,achromatic,morph,acromático
acrítico,uncritical,morph,acrítico
acrômico,achromic,morph,acrômico
acrônico,achronic,morph,acrônico
acultural,acultural,morph,acultural
acêntrico,acentric,morph,acêntrico
acíclico,acyclic,morph,acíclico
adimensional,dimensionless,morph,adimensional
adinâmica,adynamic,morph,adinâmico
afamiliar,afamiliar,morph,afamiliar
afantasia,aphantasia,morph,afantasio
afebril,afebrile,morph,afebril
afuncional,non-functional,morph,afuncional
afótico,aphotic,morph,afótico
afônico,aphonic,morph,afônico
aglandular,aglandular,morph,aglandular
agnóstico,agnostic,morph,agnóstico
agrafia,agraphia,morph,agrafia
agramatical,ungrammatical,morph,agramatical
agramaticalidade,ungrammaticality,morph,agramaticalidade
agranulócito,agranulocyte,morph,agranulócitar
agênero,agender,morph,agênero
ahistórico,ahistorical,morph,ahistórico
alegal,legal,morph,alegalr
alegalidade,legality,morph,alegalidader
alógica,alogical,morph,alógico
alógico,alogical,morph,alógico
amagnético,amagnetic,morph,amagnético
amelanótico,amelanotic,morph,amelanótico
ametal,nonmetal,morph,ametal
ametódico,amethodic,morph,ametódico
amielínicas,unmyelinated,morph,amielínica
amielínico,unmyelinated,morph,amielínico
amilenista,amillennialist,morph,amilenista
amodal,amodal,morph,amodal
amonetário,monetary,morph,amonetário
amoral,amoral,morph,amoral
amoralidade,amorality,morph,amoralidade
amoralmente,amorally,morph,amoralmente
amorfo,amorphous,morph,amorfo
amotivacional,amotivational,morph,amotivacional
amotivação,amotivation,morph,amotivação
amórfico,amorphic,morph,amórfico
anarrativa,narrative,morph,anarrativo
anormal,abnormal,morph,anormal
anormalidade,abnormality,morph,anormalidade
anormalmente,abnormally,morph,anormalmente
anucleada,anucleate,morph,anuclear
apartidaria,nonpartisanship,morph,apartidario
apartidario,nonpartisan,morph,apartidario
apartidarismo,non-partisanship,morph,apartidarismo
apartidário,nonpartisan,morph,apartidário
aperiodicidade,aperiodicity,morph,aperiodicidade
aperiódico,aperiodic,morph,aperiódico
apersonalidade,personality,morph,apersonalidade
apirogênico,non-pyrogenic,morph,apirogênico
apolar,nonpolar,morph,apolar
apoliticidade,apoliticality,morph,apoliticidade
apoliticismo,apoliticism,morph,apoliticismo
apolitização,apoliticization,morph,apolitização
apolítico,apolitical,morph,apolítico
apraxia,apraxia,morph,apraxio
aprotéico,aproteic,morph,aprotéico
apétala,apetal,morph,apétalar
areligião,arereligion,morph,areligião
assexuado,asexual,morph,assexuar
assexualidade,asexuality,morph,assexualidade
assimétrico,asymmetric,morph,assimétrico
associal,asocial,morph,associal
asséptico,aseptic,morph,asséptico
ateismo,atheism,morph,ateismo
ateista,atheist,morph,ateista
atemporal,timeless,morph,atemporal
atemporalidade,timelessness,morph,atemporalidade
atemporalmente,timelessly,morph,atemporalmente
atemática,athematic,morph,atemáticar
atemático,athematic,morph,atemático
ateologia,atheology,morph,ateologiar
ateológico,atheological,morph,ateológico
ateísmo,atheism,morph,ateísmo
ateísta,atheist,morph,ateísta
ateístico,atheistic,morph,ateístico
ateórico,atheoretical,morph,ateórico
atipicidade,atypicality,morph,atipicidade
atonal,atonal,morph,atonal
atonalidade,atonality,morph,atonalidade
atonalismo,atonalism,morph,atonalismo
atraumático,atraumatic,morph,atraumático
atrófico,atrophic,morph,atrófico
atécnica,technical,morph,atécnico
atécnico,technician,morph,atécnico
atérmico,athermal,morph,atérmico
atímico,athymic,morph,atímico
atípico,atypical,morph,atípico
atóxico,non-toxic,morph,atóxico
atônico,atonic,morph,atônico
avalorativo,evaluative,morph,avalorativo
avascular,avascular,morph,avascular
azonal,seasonal,morph,azonal
desabastecimento,shortage,morph,desabastecimento
desabonado,disgraced,morph,desabonar
desabonar,discredit,morph,desabonar
desabonatório,discreditable,morph,desabonatório
desabrigamento,homelessness,morph,desabrigamento
desabrigo,homelessness,morph,desabrigo
desacatar,defy,morph,desacatar
desacautelado,unguarded,morph,desacautelar
desaceleramento,deceleration,morph,desaceleramento
desaceleração,slowdown,morph,desaceleração
desacertar,mess up,morph,desacertar
desacerto,mistake,morph,desacerto
desacolhimento,unwelcome,morph,desacolhimento
desacomodado,unaccommodated,morph,desacomodar
desacomodar,dislodge,morph,desacomodar
desaconselhado,ill-advised,morph,desaconselhar
desaconselhável,inadvisable,morph,desaconselhável
desacontecer,disappear,morph,desacontecer
desacordado,unconscious,morph,desacordar
desacordar,disagree,morph,desacordar
desacordo,disagreement,morph,desacordar
desacostumado,unaccustomed,morph,desacostumar
desacreditado,discredited,morph,desacreditar
desacreditar,discredit,morph,desacreditar
desacreditação,discredit,morph,desacreditação
desacôrdo,disagreement,morph,de esacôrdo
desadaptativo,maladaptive,morph,desadaptativo
desadaptação,maladjustment,morph,desadaptação
desadensamento,dedensification,morph,desadensamento
desadequação,inadequacy,morph,desadequação
desafeição,disaffection,morph,desafeição
desafetado,unaffected,morph,desafetar
desafeto,disaffection,morph,desafeto
desafinadamente,out of tune,morph,desafinadamente
desafinado,out of tune,morph,desafinar
desafinamento,out of tune,morph,desafinamento
desafinação,out of tune,morph,desafinação
desafortunadamente,unfortunately,morph,desafortunadamente
desafortunado,unfortunate,morph,desafortunar
desafricanização,de-Africanization,morph,desafricanização
desagradabilidade,unpleasantness,morph,desagradabilidade
desagradabilíssimo,very unpleasant,morph,desagradabilíssimo
desagradar,displease,morph,desagradar
desagradavél,unpleasant,morph,desagradavélr
desagradecido,unappreciative,morph,desagradecer
desagrado,dislike,morph,desagrar
desagradável,unpleasant,morph,desagradável
desagrádavel,unpleasant,morph,desagrádavel
desagrável,unpleasant,morph,desagrável
desairosamente,recklessly,morph,desairosamente
desairoso,disastrous,morph,desairoso
desajeitado,clumsy,morph,desajeitar
desajeitamento,clumsiness,morph,desajeitamento
desajuizado,unreasonable,morph,desajuizar
desajustamento,maladjustment,morph,desajustamento
desajuste,misfit,morph,desajustir
desalavancado,unleveraged,morph,desalavancar
desalentador,disheartening,morph,desalentador
desalentar,discourage,morph,desalentar
desalento,dismay,morph,desalento
desalinhado,scruffy,morph,desalinhar
desalinhamento,misalignment,morph,desalinhamento
desamarelado,unyellow,morph,desamarelar
desambicioso,unambitious,morph,desambicioso
desamor,lovelessness,morph,desamor
desamoroso,unloving,morph,desamoroso
desamparar,abandon,morph,desamparar
desamparo,helplessness,morph,desamparo
desanimadamente,despondently,morph,desanimadamente
desanimadinho,discouraged,morph,desanimadinho
desanimado,discouraged,morph,desanimar
desanimador,discouraging,morph,desanimador
desanimante,discouraging,morph,desanimante
desanimar,discourage,morph,desanimar
desanimação,discouragement,morph,desanimação
desantenado,out of tune,morph,desantenar
desapaixonadamente,dispassionately,morph,desapaixonadamente
desapaixonado,dispassionate,morph,desapaixonar
desaparecer,disappear,morph,desaparecer
desaparecimento,disappearance,morph,desaparecimento
desapareçer,disappear,morph,desapareçer
desaparição,disappearance,morph,desaparição
desapegado,detached,morph,desapegar
desapegar,let go,morph,desapegar
desapego,detachment,morph,desapego
desaperceber,unnotice,morph,desaperceber
desapercebido,unnoticed,morph,desaperceber
desaplicado,unapplied,morph,desaplicar
desapoiado,unsupported,morph,desapoiar
desapoio,dissupport,morph,desapoio
desapossamento,dispossession,morph,desapossamentar
desapreciar,devalue,morph,desapreciar
desaprendizagem,unlearning,morph,desaprendizagem
desapressado,unhurried,morph,desapressar
desapreço,disregard,morph,desapreço
desaprovacão,disapproval,morph,desaprovacão
desaprovador,disapproving,morph,desaprovador
desaprovar,disapprove,morph,desaprovar
desaprovação,disapproval,morph,desaprovação
desaproveitamento,disuse,morph,desaproveitamento
desaproveitar,disuse,morph,desaproveitar
desaprumo,carelessness,morph,desaprumo
desarmamentismo,disarmamentism,morph,desarmamentismo
desarmamentista,disarmamentist,morph,desarmamentista
desarmonia,disharmony,morph,desarmoniar
desarmonioso,inharmonious,morph,desarmonioso
desarraigamento,uprooting,morph,desarraigamento
desarranjado,disarranged,morph,desarranjar
desarranjo,derangement,morph,desarranjo
desarrazoado,unreasonable,morph,desarrazoar
desarrumado,untidy,morph,desarrumar
desarrumação,clutter,morph,desarrumação
desarticuladamente,disjointedly,morph,desarticuladamente
desarticulado,disjointed,morph,desarticular
desarticulação,disarticulation,morph,desarticulação
desasnar,unravel,morph,desasnar
desassalariamento,de-salary,morph,desassalariamento
desasseado,disheveled,morph,desassear
desassimilação,disassimilation,morph,desassimilação
desassistência,disassistance,morph,desassistência
desassombrado,haunted,morph,desassombrar
desassombro,dismay,morph,desassombro
desassossegar,unrest,morph,desassossegar
desatado,untied,morph,desatar
desatencioso,inattentive,morph,desatencioso
desatencão,inattention,morph,desatencão
desatender,ignore,morph,desatender
desatendimento,lack of service,morph,desatendimento
desatentamente,inattentively,morph,desatentamente
desatentar,inattentive,morph,desatentar
desatento,inattentive,morph,desatento
desatenção,inattention,morph,desatenção
desatinado,crazy,morph,desatinar
desativamento,deactivation,morph,desativamento
desativar,disable,morph,desativar
desatualizar,out of date,morph,desatualizar
desatualização,outdated,morph,desatualização
desautomatização,deautomatization,morph,desautomatizaçãor
desautorizadamente,unauthorizedly,morph,desautorizadamente
desautorizar,disallow,morph,desautorizar
desaventurado,unfortunate,morph,desaventurar
desavença,disagreement,morph,desavençar
desavisadamente,carelessly,morph,desavisadamente
desavisado,unsuspecting,morph,desavisar
desaviso,unawareness,morph,desaviso
desbalanceamento,imbalance,morph,de esbalanceamento
desbalanço,imbalance,morph,desbalanço
desbancarização,debanking,morph,desbancarização
desburocratizantes,reducing bureaucracy,morph,desburocratizante
desburocratizar,reduce bureaucracy,morph,desburocratizar
desburocratização,debureaucratization,morph,desburocratização
descabido,unreasonable,morph,descabir
descabimento,inappropriateness,morph,descabimento
descabível,detachable,morph,descabível
descadastrado,unsubscribed,morph,descadastrar
descafeinado,decaffeinated,morph,descafeinar
descalco,barefoot,morph,descalco
descalço,barefoot,morph,descalço
descansado,rested,morph,descansar
descapacitado,disabled,morph,descapacitar
descapitalização,decapitalization,morph,descapitalização
descaracterizar,mischaracterize,morph,descaracterizar
descaridoso,uncharitable,morph,descaridoso
descasamento,mismatch,morph,descasamento
descasar,unmatch,morph,descasar
descentralidade,decentrality,morph,descentralidade
descentralizadamente,decentrally,morph,descentralizadamente
descentralizador,decentralizer,morph,descentralizador
descentralizante,decentralizing,morph,descentralizante
descentralizar,decentralize,morph,descentralizar
descentralização,decentralization,morph,descentralização
descentramento,decentering,morph,descentramento
descentrar,decentre,morph,descentrar
descentração,decentering,morph,descentração
descivilização,decivilization,morph,descivilização
desclassificado,disqualified,morph,desclassificar
descloração,dechlorination,morph,descloração
descoerência,decoherence,morph,descoerência
descoincidência,discoincidence,morph,descoincidêncer
descolonial,decolonial,morph,descolonial
descolonialidade,decoloniality,morph,descolonialidade
descoloração,discoloration,morph,descoloração
descolorido,discolored,morph,descolorer
descombinado,mismatched,morph,descombinar
descombinar,mismatch,morph,descombinar
descombinação,mismatch,morph,descombinação
descomedidamente,inordinately,morph,descomedidamente
descomedido,excessive,morph,descomeder
descomedimento,lack of restraint,morph,descomedimento
descomemoração,deceleration,morph,descomemoração
descomissionado,decommissioned,morph,descomissionar
descompassadamente,unevenly,morph,descompassadamente
descompassado,out of step,morph,descompassar
descompasso,mismatch,morph,descompasso
descompatibilização,decompatibilization,morph,descompatibilização
descompensado,decompensated,morph,descompensar
descompensar,decompensate,morph,descompensar
descompensação,decompensation,morph,descompensação
descomplexado,uncomplexed,morph,descomplexar
descomplicado,uncomplicated,morph,descomplicar
descomplicar,uncomplicate,morph,descomplicar
descomplicação,hassle-free,morph,descomplicação
descompostura,lack of composure,morph,descomposturar
descomprometidamente,noncommittally,morph,descomprometidamente
descomprometido,uncommitted,morph,descomprometer
descomprometimento,disengagement,morph,descomprometimento
descompromissado,uncommitted,morph,descompromissar
descompromisso,lack of commitment,morph,descompromisso
descomunicação,decommunication,morph,descomunicação
desconcentrado,deconcentrated,morph,desconcentrar
desconcentração,deconcentration,morph,desconcentração
desconcerto,bewilderment,morph,desconcrir
desconcordar,disagree,morph,desconcordar
descondicionamento,deconditioning,morph,descondicionamento
desconectividade,disconnection,morph,desconectividade
desconexo,disjointed,morph,desconexo
desconexão,disconnection,morph,desconexão
desconferência,unconference,morph,desconferênciar
desconfiadamente,suspiciously,morph,desconfiadamente
desconfiado,suspicious,morph,desconfiar
desconfianca,distrust,morph,desconfianca
desconfiante,suspicious,morph,desconfiante
desconfiança,distrust,morph,desconfiança
desconfiar,distrust,morph,desconfiar
desconfiaça,distrust,morph,desconfiaçar
desconfirmação,disconfirmation,morph,desconfirmação
desconfiável,suspicious,morph,desconfiável
desconforme,non-conforming,morph,desconforme
desconformidade,nonconformity,morph,desconformidade
desconfortante,uncomfortable,morph,desconfortante
desconfortar,discomfort,morph,desconfortar
desconforto,discomfort,morph,desconforto
desconfortável,uncomfortable,morph,desconfortável
descongestivo,decongestant,morph,descongestivo
desconhecedor,ignorant,morph,desconhecedor
desconhecer,ignore,morph,desconhecer
desconhecidamente,unknown,morph,desconhecidamente
desconhecido,unknown,morph,desconhecer
desconhecimento,ignorance,morph,desconhecimento
desconhecível,unknown,morph,desconhecível
desconsagrado,deconsecrated,morph,desconsagrar
desconsiderado,disregarded,morph,desconsiderar
desconsiderar,to disregard,morph,desconsiderar
desconsideração,disregard,morph,desconsideração
desconsiderável,inconsiderable,morph,desconsiderável
desconsolador,disconsolate,morph,desconsolador
desconsolação,disconsolation,morph,desconsolação
desconsolo,disconsolate,morph,desconsolo
desconstitucionalização,deconstitutionalization,morph,desconstitucionalização
desconstrutivo,deconstructive,morph,desconstrutivo
descontaminação,decontamination,morph,descontaminação
descontentamento,discontent,morph,descontentamento
descontentar,discontent,morph,descontentar
descontente,dissatisfied,morph,descontente
descontextualização,decontextualization,morph,descontextualização
descontingenciado,decontingented,morph,descontingenciar
descontinuar,discontinue,morph,descontinuar
descontinuação,discontinuation,morph,descontinuação
descontinuidade,discontinuity,morph,descontinuidade
descontracção,relaxation,morph,descontracção
descontração,relaxation,morph,descontração
descontraído,relaxed,morph,descontrair
descontroladamente,wildly,morph,descontroladamente
descontrole,out of control,morph,descontrole
descontrolável,uncontrollable,morph,descontrolável
descontínuo,discontinuous,morph,descontínuo
descoordenadamente,uncoordinated,morph,descoordenadamente
descoordenação,incoordination,morph,descoordenação
descorado,bleached,morph,descorar
descortesia,rudeness,morph,descortesia
descortês,impolite,morph,descortês
descredibilidade,discreditability,morph,descredibilidade
descredibilizar,discredit,morph,descredibilizar
descredibilização,discredit,morph,descredibilização
descrente,unbeliever,morph,descrente
descrença,disbelief,morph,descrença
